	Security	Holder	Weight
2587	D UN Equity	MARSHALL WACE	0.0000
2588	D UN Equity	Greenland Capital Management LP	0.0188
2589	D UN Equity	Corient Private Wealth LLC	0.0003
2590	D UN Equity	Millennium Management LLC/NY	0.0001
2591	D UN Equity	AQR Capital Management LLC	0.0003
2592	D UN Equity	Tocqueville Asset Management LP	0.0019
2593	D UN Equity	Holocene Advisors LP	0.0004
2594	D UN Equity	Twin Tree Management LP	0.0015
2595	D UN Equity	Ecofin Advisors Ltd	0.0000
2596	D UN Equity	Element Capital Management LLC	0.0040
2597	D UN Equity	Azimut Holding SpA	0.0000
2598	D UN Equity	Zimmer Partners LP	0.0009
2599	D UN Equity	Cubist Systematic Strategies LLC	0.0004
2600	D UN Equity	Beverly Hills Private Wealth LLC	0.0062
2601	DAL UN Equity	GMT Capital Corp	0.1134
2602	DAL UN Equity	Citadel Advisors LLC	0.0029
2603	DAL UN Equity	PAR Capital Management Inc	0.0745
2604	DAL UN Equity	Renaissance Technologies LLC	0.0023
2605	DAL UN Equity	Douglas Lane & Associates LLC	0.0153
2606	DAL UN Equity	Patient Capital Management LLC	0.0491
2607	DAL UN Equity	Millennium Management LLC/NY	0.0006
2608	DAL UN Equity	AQR Capital Management LLC	0.0012
2609	DAL UN Equity	Masters Capital Management LLC	0.0959
2610	DAL UN Equity	Laurion Capital Management LP	0.0180
2611	DAL UN Equity	ExodusPoint Capital Management LP	0.0040
2612	DAL UN Equity	Schonfeld Strategic Advisors LLC	0.0027
2613	DAL UN Equity	Adage Capital Management LP	0.0000
2614	DAL UN Equity	Candlestick Capital Management LP	0.0096
2615	DAL UN Equity	Balyasny Asset Management LP	0.0008
2616	DAL UN Equity	Lansdowne Partners UK LLP	0.0282
2617	DAL UN Equity	Parallax Volatility Advisers LP	0.0069
2618	DAL UN Equity	Cobalt Capital Management Inc	0.0728
2619	DAL UN Equity	Sirios Capital Management LP	0.0294
2620	DAL UN Equity	Corient Private Wealth LLC	0.0004
2621	DD UN Equity	Third Point LLC	0.0479
2622	DD UN Equity	Holocene Advisors LP	0.0075
2623	DD UN Equity	Bain Capital Public Equity Managem	0.0509
2624	DD UN Equity	Glenview Capital Management LLC	0.0199
2625	DD UN Equity	Staley Capital Advisers Inc	0.0253
2626	DD UN Equity	Steadfast Capital Management LP	0.0116
2627	DD UN Equity	Point72 Asset Management LP	0.0000
2628	DD UN Equity	Adage Capital Management LP	0.0000
2629	DD UN Equity	Woodline Partners LP	0.0033
2630	DD UN Equity	Twin Tree Management LP	0.0051
2631	DD UN Equity	Tocqueville Asset Management LP	0.0042
2632	DD UN Equity	Corient Private Wealth LLC	0.0004
2633	DD UN Equity	DE Shaw & Co LP	0.0000
2634	DD UN Equity	Scopus Asset Management LP	0.0051
2635	DD UN Equity	Gotham Asset Management LLC	0.0028
2636	DD UN Equity	Verition Fund Management LLC	0.0019
2637	DD UN Equity	Millennium Management LLC/NY	0.0001
2638	DD UN Equity	Hudson Bay Capital Management LP	0.0008
2639	DD UN Equity	Polar Asset Management Partners In	0.0015
2640	DD UN Equity	Bain Capital Public Equity LP	0.0582
2641	DE UN Equity	DE Shaw & Co LP	0.0000
2642	DE UN Equity	Adage Capital Management LP	0.0000
2643	DE UN Equity	Corient Private Wealth LLC	0.0040
2644	DE UN Equity	Renaissance Technologies LLC	0.0015
2645	DE UN Equity	Tocqueville Asset Management LP	0.0132
2646	DE UN Equity	Schonfeld Strategic Advisors LLC	0.0055
2647	DE UN Equity	MARSHALL WACE	0.0000
2648	DE UN Equity	Holocene Advisors LP	0.0019
2649	DE UN Equity	Millennium Management LLC/NY	0.0005
2650	DE UN Equity	Stonegate Investment Group LLC	0.0147
2651	DE UN Equity	Chilton Investment Co LLC	0.0117
2652	DE UN Equity	AQR Capital Management LLC	0.0008
2653	DE UN Equity	Washington Trust Advisors Inc	0.0267
2654	DE UN Equity	Berkshire Asset Management LLC	0.0141
2655	DE UN Equity	Arrowstreet Capital LP	0.0002
2656	DE UN Equity	Nicola Wealth Management Ltd	0.0171
2657	DE UN Equity	Kovitz Investment Group Partners L	0.0019
2658	DE UN Equity	Bornite Capital Management LP	0.0246
2659	DE UN Equity	Two Sigma Investments LP	0.0000
2660	DE UN Equity	Citadel Advisors LLC	0.0001
2661	DFS UN Equity	Arrowstreet Capital LP	0.0051
2662	DFS UN Equity	Southpoint Capital Advisors LP	0.0652
2663	DFS UN Equity	Balyasny Asset Management LP	0.0039
2664	DFS UN Equity	Eminence Capital LP	0.0197
2665	DFS UN Equity	Holocene Advisors LP	0.0041
2666	DFS UN Equity	Millennium Management LLC/NY	0.0010
2667	DFS UN Equity	Corient Private Wealth LLC	0.0017
2668	DFS UN Equity	DE Shaw & Co LP	0.0000
2669	DFS UN Equity	140 Summer Partners LP	0.1370
2670	DFS UN Equity	Moore Capital Management LP	0.0104
2671	DFS UN Equity	AQR Capital Management LLC	0.0006
2672	DFS UN Equity	Adage Capital Management LP	0.0000
2673	DFS UN Equity	Winton Group Ltd	0.0227
2674	DFS UN Equity	Alyeska Investment Group LP	0.0020
2675	DFS UN Equity	Schonfeld Strategic Advisors LLC	0.0021
2676	DFS UN Equity	Verition Fund Management LLC	0.0037
2677	DFS UN Equity	Suvretta Capital Management LLC	0.0100
2678	DFS UN Equity	Citadel Advisors LLC	0.0002
2679	DFS UN Equity	Tudor Investment Corp	0.0022
2680	DFS UN Equity	Hudson Bay Capital Management LP	0.0013
2681	DG UN Equity	Holocene Advisors LP	0.0088
2682	DG UN Equity	MARSHALL WACE	0.0000
2683	DG UN Equity	Point72 Asset Management LP	0.0000
2684	DG UN Equity	Citadel Advisors LLC	0.0012
2685	DG UN Equity	Squarepoint Ops LLC	0.0054
2686	DG UN Equity	Bridgewater Associates LP	0.0043
2687	DG UN Equity	DE Shaw & Co LP	0.0000
2688	DG UN Equity	Balyasny Asset Management LP	0.0018
2689	DG UN Equity	Millennium Management LLC/NY	0.0005
2690	DG UN Equity	Graham Capital Management LP	0.0194
2691	DG UN Equity	Baupost Group LLC/The	0.0074
2692	DG UN Equity	Renaissance Technologies LLC	0.0006
2693	DG UN Equity	Frontier Capital Management Co LLC	0.0034
2694	DG UN Equity	Osterweis Capital Management Inc	0.0217
2695	DG UN Equity	Adage Capital Management LP	0.0000
2696	DG UN Equity	Capital Fund Management SA	0.0041
2697	DG UN Equity	Sunriver Management LLC	0.0519
2698	DG UN Equity	Lighthouse Investment Partners LLC	0.0189
2699	DG UN Equity	Schonfeld Strategic Advisors LLC	0.0019
2700	DG UN Equity	AQR Capital Management LLC	0.0005
2701	DGX UN Equity	Point72 Asset Management LP	0.0000
2702	DGX UN Equity	Renaissance Technologies LLC	0.0013
2703	DGX UN Equity	Balyasny Asset Management LP	0.0021
2704	DGX UN Equity	Adage Capital Management LP	0.0000
2705	DGX UN Equity	AQR Capital Management LLC	0.0006
2706	DGX UN Equity	Squarepoint Ops LLC	0.0014
2707	DGX UN Equity	Bridgewater Associates LP	0.0012
2708	DGX UN Equity	Tocqueville Asset Management LP	0.0033
2709	DGX UN Equity	Citadel Advisors LLC	0.0002
2710	DGX UN Equity	ExodusPoint Capital Management LP	0.0014
2711	DGX UN Equity	Millennium Management LLC/NY	0.0001
2712	DGX UN Equity	DE Shaw & Co LP	0.0000
2713	DGX UN Equity	TOBAM SAS	0.0055
2714	DGX UN Equity	Corient Private Wealth LLC	0.0001
2715	DGX UN Equity	American Assets Investment Managem	0.0050
2716	DGX UN Equity	Verition Fund Management LLC	0.0004
2717	DGX UN Equity	Ergoteles LLC	0.0013
2718	DGX UN Equity	GYL Financial Synergies LLC	0.0022
2719	DGX UN Equity	Element Capital Management LLC	0.0014
2720	DGX UN Equity	TWIN Capital Management Inc	0.0022
2721	DHI UN Equity	Echo Street Capital Management LLC	0.0207
2722	DHI UN Equity	Millennium Management LLC/NY	0.0019
2723	DHI UN Equity	Arrowstreet Capital LP	0.0022
2724	DHI UN Equity	Holocene Advisors LP	0.0066
2725	DHI UN Equity	MARSHALL WACE	0.0000
2726	DHI UN Equity	Balyasny Asset Management LP	0.0033
2727	DHI UN Equity	Southpoint Capital Advisors LP	0.0151
2728	DHI UN Equity	Citadel Advisors LLC	0.0006
2729	DHI UN Equity	Long Pond Capital LP	0.0317
2730	DHI UN Equity	AQR Capital Management LLC	0.0011
2731	DHI UN Equity	Adage Capital Management LP	0.0000
2732	DHI UN Equity	Bridgewater Associates LP	0.0022
2733	DHI UN Equity	59 North Capital Management LP	0.0354
2734	DHI UN Equity	Akaris Global Partners LP	0.0717
2735	DHI UN Equity	Schonfeld Strategic Advisors LLC	0.0017
2736	DHI UN Equity	Scopus Asset Management LP	0.0062
2737	DHI UN Equity	Driehaus Capital Management LLC	0.0021
2738	DHI UN Equity	Woodson Capital Management LP	0.0247
2739	DHI UN Equity	Twin Tree Management LP	0.0026
2740	DHI UN Equity	Corient Private Wealth LLC	0.0003
2741	DHR UN Equity	Viking Global Investors LP	0.0370
2742	DHR UN Equity	Third Point LLC	0.0809
2743	DHR UN Equity	Akre Capital Management LLC	0.0317
2744	DHR UN Equity	Echo Street Capital Management LLC	0.0202
2745	DHR UN Equity	MARSHALL WACE	0.0000
2746	DHR UN Equity	Arrowstreet Capital LP	0.0028
2747	DHR UN Equity	Two Sigma Investments LP	0.0000
2748	DHR UN Equity	Millennium Management LLC/NY	0.0022
2749	DHR UN Equity	Select Equity Group LP	0.0075
2750	DHR UN Equity	Corient Private Wealth LLC	0.0045
2751	DHR UN Equity	DE Shaw & Co LP	0.0000
2752	DHR UN Equity	Adage Capital Management LP	0.0000
2753	DHR UN Equity	D1 Capital Partners LP	0.0344
2754	DHR UN Equity	Coatue Management LLC	0.0068
2755	DHR UN Equity	Citadel Advisors LLC	0.0014
2756	DHR UN Equity	Consulta Ltd	0.0739
2757	DHR UN Equity	Meritage Group LP	0.0288
2758	DHR UN Equity	Williams Jones Wealth Management L	0.0144
2759	DHR UN Equity	AQR Capital Management LLC	0.0020
2760	DHR UN Equity	Balyasny Asset Management LP	0.0020
2761	DIS UN Equity	Trian Fund Management LP	0.1478
2762	DIS UN Equity	Lindsell Train Ltd	0.0896
2763	DIS UN Equity	Coatue Management LLC	0.0129
2764	DIS UN Equity	Corient Private Wealth LLC	0.0040
2765	DIS UN Equity	Adage Capital Management LP	0.0000
2766	DIS UN Equity	Renaissance Technologies LLC	0.0017
2767	DIS UN Equity	Millennium Management LLC/NY	0.0009
2768	DIS UN Equity	Kovitz Investment Group Partners L	0.0119
2769	DIS UN Equity	Two Sigma Investments LP	0.0000
2770	DIS UN Equity	Hudson Bay Capital Management LP	0.0069
2771	DIS UN Equity	DE Shaw & Co LP	0.0000
2772	DIS UN Equity	Squarepoint Ops LLC	0.0033
2773	DIS UN Equity	Cohen Klingenstein LLC	0.0229
2774	DIS UN Equity	Douglas Lane & Associates LLC	0.0083
2775	DIS UN Equity	Tocqueville Asset Management LP	0.0091
2776	DIS UN Equity	Stonegate Investment Group LLC	0.0159
2777	DIS UN Equity	Fosse Capital Partners LLP	0.1186
2778	DIS UN Equity	Laurion Capital Management LP	0.0109
2779	DIS UN Equity	MARSHALL WACE	0.0000
2780	DIS UN Equity	Williams Jones Wealth Management L	0.0035
2781	DLR UN Equity	Citadel Advisors LLC	0.0059
2782	DLR UN Equity	AEW Capital Management LP	0.0327
2783	DLR UN Equity	Moore Capital Management LP	0.0145
2784	DLR UN Equity	Waterfront Capital Partners LLC	0.0478
2785	DLR UN Equity	Jericho Capital Asset Management L	0.0147
2786	DLR UN Equity	Schonfeld Strategic Advisors LLC	0.0031
2787	DLR UN Equity	ExodusPoint Capital Management LP	0.0039
2788	DLR UN Equity	Adage Capital Management LP	0.0000
2789	DLR UN Equity	Weiss Multi-Strategy Advisers LLC	0.0070
2790	DLR UN Equity	GEM Realty Capital Inc	0.0375
2791	DLR UN Equity	Vision Capital Corp/Toronto	0.1044
2792	DLR UN Equity	Polar Asset Management Partners In	0.0028
2793	DLR UN Equity	Philadelphia Financial Management	0.0353
2794	DLR UN Equity	One Fin Capital Management LP	0.0470
2795	DLR UN Equity	Northstar Asset Management Inc/MA	0.0258
2796	DLR UN Equity	Corient Private Wealth LLC	0.0002
2797	DLR UN Equity	Millennium Management LLC/NY	0.0001
2798	DLR UN Equity	AQR Capital Management LLC	0.0001
2799	DLR UN Equity	Kovitz Investment Group Partners L	0.0009
2800	DLR UN Equity	Zweig-Dimenna Associates LLC	0.0074
2801	DLTR UW Equity	Winslow Capital Management LLC	0.0104
2802	DLTR UW Equity	DE Shaw & Co LP	0.0000
2803	DLTR UW Equity	MARSHALL WACE	0.0000
2804	DLTR UW Equity	Alyeska Investment Group LP	0.0113
2805	DLTR UW Equity	Kovitz Investment Group Partners L	0.0207
2806	DLTR UW Equity	Citadel Advisors LLC	0.0015
2807	DLTR UW Equity	Bridgewater Associates LP	0.0052
2808	DLTR UW Equity	Squarepoint Ops LLC	0.0042
2809	DLTR UW Equity	Point72 Asset Management LP	0.0000
2810	DLTR UW Equity	Rivulet Capital LLC	0.0390
2811	DLTR UW Equity	Schonfeld Strategic Advisors LLC	0.0045
2812	DLTR UW Equity	Adage Capital Management LP	0.0000
2813	DLTR UW Equity	Renaissance Technologies LLC	0.0006
2814	DLTR UW Equity	Meritage Group LP	0.0111
2815	DLTR UW Equity	Anomaly Capital Management LP	0.0150
2816	DLTR UW Equity	Brahman Capital Corp	0.0872
2817	DLTR UW Equity	Rokos Capital Management LLP	0.0060
2818	DLTR UW Equity	Millennium Management LLC/NY	0.0002
2819	DLTR UW Equity	Nine27 Capital Management LP	0.1189
2820	DLTR UW Equity	Landscape Capital Management LLC	0.0231
2821	DOV UN Equity	Corient Private Wealth LLC	0.0033
2822	DOV UN Equity	Two Sigma Investments LP	0.0000
2823	DOV UN Equity	Williams Jones Wealth Management L	0.0133
2824	DOV UN Equity	Adage Capital Management LP	0.0000
2825	DOV UN Equity	Select Equity Group LP	0.0021
2826	DOV UN Equity	Millennium Management LLC/NY	0.0004
2827	DOV UN Equity	Citadel Advisors LLC	0.0003
2828	DOV UN Equity	Schonfeld Strategic Advisors LLC	0.0022
2829	DOV UN Equity	AQR Capital Management LLC	0.0005
2830	DOV UN Equity	DE Shaw & Co LP	0.0000
2831	DOV UN Equity	Woodline Partners LP	0.0017
2832	DOV UN Equity	Cubist Systematic Strategies LLC	0.0008
2833	DOV UN Equity	ExodusPoint Capital Management LP	0.0007
2834	DOV UN Equity	Squarepoint Ops LLC	0.0003
2835	DOV UN Equity	Point72 Asset Management LP	0.0000
2836	DOV UN Equity	Edgestream Partners LP	0.0046
2837	DOV UN Equity	Gotham Asset Management LLC	0.0008
2838	DOV UN Equity	Magnetar Financial LLC	0.0007
2839	DOV UN Equity	BBR Partners LLC	0.0034
2840	DOV UN Equity	TwinBeech Capital LP	0.0006
2841	DOW UN Equity	Millennium Management LLC/NY	0.0009
2842	DOW UN Equity	Renaissance Technologies LLC	0.0007
2843	DOW UN Equity	Adage Capital Management LP	0.0000
2844	DOW UN Equity	DE Shaw & Co LP	0.0000
2845	DOW UN Equity	AQR Capital Management LLC	0.0006
2846	DOW UN Equity	Squarepoint Ops LLC	0.0015
2847	DOW UN Equity	TwinBeech Capital LP	0.0035
2848	DOW UN Equity	Capital Fund Management SA	0.0027
2849	DOW UN Equity	Staley Capital Advisers Inc	0.0054
2850	DOW UN Equity	Corient Private Wealth LLC	0.0002
2851	DOW UN Equity	MARSHALL WACE	0.0000
2852	DOW UN Equity	Azimuth Capital Investment Managem	0.0031
2853	DOW UN Equity	Merewether Investment Management L	0.0041
2854	DOW UN Equity	Tocqueville Asset Management LP	0.0009
2855	DOW UN Equity	Twin Tree Management LP	0.0009
2856	DOW UN Equity	L2 Asset Management LLC	0.0190
2857	DOW UN Equity	Hudson Bay Capital Management LP	0.0004
2858	DOW UN Equity	NEIRG Wealth Management LLC	0.0067
2859	DOW UN Equity	American Assets Investment Managem	0.0040
2860	DOW UN Equity	Gotham Asset Management LLC	0.0007
2861	DPZ UN Equity	Renaissance Technologies LLC	0.0042
2862	DPZ UN Equity	Adage Capital Management LP	0.0000
2863	DPZ UN Equity	AQR Capital Management LLC	0.0017
2864	DPZ UN Equity	DE Shaw & Co LP	0.0000
2865	DPZ UN Equity	Steadfast Capital Management LP	0.0162
2866	DPZ UN Equity	Makaira Partners LLC	0.0709
2867	DPZ UN Equity	Frontier Capital Management Co LLC	0.0044
2868	DPZ UN Equity	Corient Private Wealth LLC	0.0005
2869	DPZ UN Equity	Weiss Multi-Strategy Advisers LLC	0.0039
2870	DPZ UN Equity	ExodusPoint Capital Management LP	0.0017
2871	DPZ UN Equity	Twin Tree Management LP	0.0026
2872	DPZ UN Equity	Millennium Management LLC/NY	0.0001
2873	DPZ UN Equity	Davidson Kempner Capital Managemen	0.0037
2874	DPZ UN Equity	Shellback Capital LP	0.0104
2875	DPZ UN Equity	Schonfeld Strategic Advisors LLC	0.0010
2876	DPZ UN Equity	Teca Partners LP	0.0672
2877	DPZ UN Equity	Palisade Capital Management LLC	0.0017
2878	DPZ UN Equity	Stansberry Asset Management LLC	0.0099
2879	DPZ UN Equity	Chilton Investment Co LLC	0.0013
2880	DPZ UN Equity	Spouting Rock Asset Management LLC	0.0111
2881	DRI UN Equity	Arrowstreet Capital LP	0.0028
2882	DRI UN Equity	Squarepoint Ops LLC	0.0054
2883	DRI UN Equity	MARSHALL WACE	0.0000
2884	DRI UN Equity	Balyasny Asset Management LP	0.0008
2885	DRI UN Equity	Bridgewater Associates LP	0.0015
2886	DRI UN Equity	AQR Capital Management LLC	0.0005
2887	DRI UN Equity	Citadel Advisors LLC	0.0002
2888	DRI UN Equity	Schonfeld Strategic Advisors LLC	0.0013
2889	DRI UN Equity	Twin Tree Management LP	0.0029
2890	DRI UN Equity	Prospector Partners LLC	0.0162
2891	DRI UN Equity	Distillate Capital Partners LLC	0.0000
2892	DRI UN Equity	Corient Private Wealth LLC	0.0002
2893	DRI UN Equity	DE Shaw & Co LP	0.0000
2894	DRI UN Equity	Woodline Partners LP	0.0009
2895	DRI UN Equity	Williams Jones Wealth Management L	0.0011
2896	DRI UN Equity	Millennium Management LLC/NY	0.0001
2897	DRI UN Equity	TwinBeech Capital LP	0.0011
2898	DRI UN Equity	Navellier & Associates Inc	0.0103
2899	DRI UN Equity	Gotham Asset Management LLC	0.0010
2900	DRI UN Equity	Aigen Investment Management LP	0.0063
2901	DTE UN Equity	Point72 Asset Management LP	0.0000
2902	DTE UN Equity	Millennium Management LLC/NY	0.0011
2903	DTE UN Equity	Zimmer Partners LP	0.0209
2904	DTE UN Equity	Balyasny Asset Management LP	0.0013
2905	DTE UN Equity	ExodusPoint Capital Management LP	0.0054
2906	DTE UN Equity	AQR Capital Management LLC	0.0006
2907	DTE UN Equity	Schonfeld Strategic Advisors LLC	0.0025
2908	DTE UN Equity	Verition Fund Management LLC	0.0040
2909	DTE UN Equity	Yaupon Capital Management LP	0.0323
2910	DTE UN Equity	Adage Capital Management LP	0.0000
2911	DTE UN Equity	LMR Partners LLP	0.0052
2912	DTE UN Equity	HITE Hedge Asset Management LLC	0.0196
2913	DTE UN Equity	Two Sigma Investments LP	0.0000
2914	DTE UN Equity	DE Shaw & Co LP	0.0000
2915	DTE UN Equity	Ecofin Advisors Ltd	0.0000
2916	DTE UN Equity	Holocene Advisors LP	0.0004
2917	DTE UN Equity	Corient Private Wealth LLC	0.0001
2918	DTE UN Equity	Summit Global Investments LLC	0.0035
2919	DTE UN Equity	Cipher Capital LP	0.0079
2920	DTE UN Equity	Gotham Asset Management LLC	0.0009
2921	DUK UN Equity	Two Sigma Investments LP	0.0000
2922	DUK UN Equity	ExodusPoint Capital Management LP	0.0136
2923	DUK UN Equity	Zimmer Partners LP	0.0223
2924	DUK UN Equity	AQR Capital Management LLC	0.0012
2925	DUK UN Equity	Corient Private Wealth LLC	0.0007
2926	DUK UN Equity	DE Shaw & Co LP	0.0000
2927	DUK UN Equity	Millennium Management LLC/NY	0.0003
2928	DUK UN Equity	MARSHALL WACE	0.0000
2929	DUK UN Equity	Renaissance Technologies LLC	0.0003
2930	DUK UN Equity	Squarepoint Ops LLC	0.0010
2931	DUK UN Equity	Adage Capital Management LP	0.0000
2932	DUK UN Equity	Tocqueville Asset Management LP	0.0026
2933	DUK UN Equity	Balyasny Asset Management LP	0.0003
2934	DUK UN Equity	Element Capital Management LLC	0.0062
2935	DUK UN Equity	Capstone Investment Advisors LLC	0.0032
2936	DUK UN Equity	Holocene Advisors LP	0.0004
2937	DUK UN Equity	Azimut Holding SpA	0.0000
2938	DUK UN Equity	Greenland Capital Management LP	0.0085
2939	DUK UN Equity	Cubist Systematic Strategies LLC	0.0007
2940	DUK UN Equity	Centiva Capital LP	0.0024
2941	DVA UN Equity	Citadel Advisors LLC	0.0015
2942	DVA UN Equity	Millennium Management LLC/NY	0.0012
2943	DVA UN Equity	Gates Capital Management Inc	0.0277
2944	DVA UN Equity	MARSHALL WACE	0.0000
2945	DVA UN Equity	TOBAM SAS	0.0125
2946	DVA UN Equity	DE Shaw & Co LP	0.0000
2947	DVA UN Equity	Point72 Asset Management LP	0.0000
2948	DVA UN Equity	Bridgewater Associates LP	0.0006
2949	DVA UN Equity	Gotham Asset Management LLC	0.0016
2950	DVA UN Equity	Adage Capital Management LP	0.0000
2951	DVA UN Equity	Woodline Partners LP	0.0007
2952	DVA UN Equity	Arrowstreet Capital LP	0.0001
2953	DVA UN Equity	Weiss Multi-Strategy Advisers LLC	0.0009
2954	DVA UN Equity	Cubist Systematic Strategies LLC	0.0004
2955	DVA UN Equity	Holocene Advisors LP	0.0002
2956	DVA UN Equity	AQR Capital Management LLC	0.0001
2957	DVA UN Equity	Two Sigma Investments LP	0.0000
2958	DVA UN Equity	L2 Asset Management LLC	0.0136
2959	DVA UN Equity	Curated Wealth Partners LLC	0.0037
2960	DVA UN Equity	Graham Capital Management LP	0.0006
2961	DVN UN Equity	Citadel Advisors LLC	0.0011
2962	DVN UN Equity	Holocene Advisors LP	0.0034
2963	DVN UN Equity	Millennium Management LLC/NY	0.0007
2964	DVN UN Equity	Balyasny Asset Management LP	0.0018
2965	DVN UN Equity	DE Shaw & Co LP	0.0000
2966	DVN UN Equity	Twin Tree Management LP	0.0056
2967	DVN UN Equity	Squarepoint Ops LLC	0.0010
2968	DVN UN Equity	Sagefield Capital LP	0.0356
2969	DVN UN Equity	Point72 Asset Management LP	0.0000
2970	DVN UN Equity	Palisade Capital Management LLC	0.0036
2971	DVN UN Equity	SIR Capital Management LP	0.0120
2972	DVN UN Equity	Bridgewater Associates LP	0.0007
2973	DVN UN Equity	Woodson Capital Management LP	0.0169
2974	DVN UN Equity	AQR Capital Management LLC	0.0002
2975	DVN UN Equity	Cobalt Capital Management Inc	0.0368
2976	DVN UN Equity	Frontier Capital Management Co LLC	0.0008
2977	DVN UN Equity	GYL Financial Synergies LLC	0.0060
2978	DVN UN Equity	Gotham Asset Management LLC	0.0013
2979	DVN UN Equity	Ergoteles LLC	0.0028
2980	DVN UN Equity	Aptus Capital LLC	0.0000
2981	DXCM UW Equity	Millennium Management LLC/NY	0.0026
2982	DXCM UW Equity	MARSHALL WACE	0.0000
2983	DXCM UW Equity	Holocene Advisors LP	0.0090
2984	DXCM UW Equity	Arrowstreet Capital LP	0.0015
2985	DXCM UW Equity	Alyeska Investment Group LP	0.0088
2986	DXCM UW Equity	Frontier Capital Management Co LLC	0.0087
2987	DXCM UW Equity	Two Sigma Investments LP	0.0000
2988	DXCM UW Equity	Squarepoint Ops LLC	0.0039
2989	DXCM UW Equity	Adage Capital Management LP	0.0000
2990	DXCM UW Equity	Bridgewater Associates LP	0.0033
2991	DXCM UW Equity	PFM Health Sciences LP	0.0195
2992	DXCM UW Equity	Redmile Group LLC	0.0143
2993	DXCM UW Equity	DE Shaw & Co LP	0.0000
2994	DXCM UW Equity	Citadel Advisors LLC	0.0004
2995	DXCM UW Equity	Woodline Partners LP	0.0031
2996	DXCM UW Equity	Renaissance Technologies LLC	0.0003
2997	DXCM UW Equity	Cubist Systematic Strategies LLC	0.0024
2998	DXCM UW Equity	Corient Private Wealth LLC	0.0005
2999	DXCM UW Equity	Iron Triangle Partners LP	0.0264
3000	DXCM UW Equity	NZS Capital LLC	0.0081
3001	EA UW Equity	Arrowstreet Capital LP	0.0033
3002	EA UW Equity	Two Sigma Investments LP	0.0000
3003	EA UW Equity	DE Shaw & Co LP	0.0000
3004	EA UW Equity	AQR Capital Management LLC	0.0024
3005	EA UW Equity	Renaissance Technologies LLC	0.0012
3006	EA UW Equity	Millennium Management LLC/NY	0.0007
3007	EA UW Equity	Alyeska Investment Group LP	0.0047
3008	EA UW Equity	LMR Partners LLP	0.0070
3009	EA UW Equity	Nicola Wealth Management Ltd	0.0225
3010	EA UW Equity	Summit Global Investments LLC	0.0111
3011	EA UW Equity	Capital Fund Management SA	0.0027
3012	EA UW Equity	Twin Tree Management LP	0.0034
3013	EA UW Equity	Cubist Systematic Strategies LLC	0.0018
3014	EA UW Equity	MARSHALL WACE	0.0000
3015	EA UW Equity	Adage Capital Management LP	0.0000
3016	EA UW Equity	Squarepoint Ops LLC	0.0006
3017	EA UW Equity	Distillate Capital Partners LLC	0.0000
3018	EA UW Equity	Quantitative Investment Management	0.0092
3019	EA UW Equity	Corient Private Wealth LLC	0.0002
3020	EA UW Equity	Point72 Asset Management LP	0.0000
3021	EBAY UW Equity	Lindsell Train Ltd	0.0544
3022	EBAY UW Equity	Arrowstreet Capital LP	0.0023
3023	EBAY UW Equity	DE Shaw & Co LP	0.0000
3024	EBAY UW Equity	Renaissance Technologies LLC	0.0010
3025	EBAY UW Equity	Millennium Management LLC/NY	0.0007
3026	EBAY UW Equity	TwinBeech Capital LP	0.0092
3027	EBAY UW Equity	Invenomic Capital Management LP	0.0224
3028	EBAY UW Equity	Capital Fund Management SA	0.0055
3029	EBAY UW Equity	Fairview Capital Investment Manage	0.0220
3030	EBAY UW Equity	Nitorum Capital LP	0.0294
3031	EBAY UW Equity	Schonfeld Strategic Advisors LLC	0.0024
3032	EBAY UW Equity	Citadel Advisors LLC	0.0003
3033	EBAY UW Equity	Adage Capital Management LP	0.0000
3034	EBAY UW Equity	Kinney Asset Management LLC	0.1058
3035	EBAY UW Equity	AQR Capital Management LLC	0.0003
3036	EBAY UW Equity	Corient Private Wealth LLC	0.0003
3037	EBAY UW Equity	Twin Tree Management LP	0.0015
3038	EBAY UW Equity	Prospector Partners LLC	0.0094
3039	EBAY UW Equity	Two Sigma Investments LP	0.0000
3040	EBAY UW Equity	Bridgewater Associates LP	0.0004
3041	ECL UN Equity	Cantillon Capital Management LLC	0.0237
3042	ECL UN Equity	Two Sigma Investments LP	0.0000
3043	ECL UN Equity	Corient Private Wealth LLC	0.0032
3044	ECL UN Equity	Williams Jones Wealth Management L	0.0202
3045	ECL UN Equity	Junto Capital Management LP	0.0155
3046	ECL UN Equity	Oribel Capital Management LP	0.0500
3047	ECL UN Equity	Balyasny Asset Management LP	0.0015
3048	ECL UN Equity	Point72 Asset Management LP	0.0000
3049	ECL UN Equity	MARSHALL WACE	0.0000
3050	ECL UN Equity	Adage Capital Management LP	0.0000
3051	ECL UN Equity	Renaissance Technologies LLC	0.0006
3052	ECL UN Equity	Bornite Capital Management LP	0.0450
3053	ECL UN Equity	Governors Lane LP	0.0496
3054	ECL UN Equity	Schonfeld Strategic Advisors LLC	0.0014
3055	ECL UN Equity	Capital Fund Management SA	0.0023
3056	ECL UN Equity	Cubist Systematic Strategies LLC	0.0015
3057	ECL UN Equity	Millennium Management LLC/NY	0.0001
3058	ECL UN Equity	Boothbay Fund Management LLC	0.0044
3059	ECL UN Equity	Alyeska Investment Group LP	0.0008
